,ICD9,counts,frequency,description
0,401.9,20053,0.3803246974926981,Unspecified essential hypertension
1,38.93,14444,0.2739445434889808,"Venous catheterization, not elsewhere classified"
2,428.0,12842,0.24356105147365625,"Congestive heart failure, unspecified"
3,427.31,12594,0.23885748966354362,Atrial fibrillation
4,414.01,12179,0.2309866100216212,Coronary atherosclerosis of native coronary artery
5,96.04,9932,0.18837006410499563,Insertion of endotracheal tube
6,96.6,9161,0.17374729734855668,Enteral infusion of concentrated nutritional substances
7,584.9,8907,0.16892993968819936,"Acute renal failure, unspecified"
8,250.00,8784,0.1665971247581838,"type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, without mention of complication"
9,96.71,8619,0.16346773887645563,Continuous mechanical ventilation for less than 96 consecutive hours
10,272.4,8504,0.1612866517467663,Other and unspecified hyperlipidemia
11,518.81,7249,0.13748435307059137,Acute respiratory failure
12,99.04,7147,0.1355498236164321,Transfusion of packed cells
13,39.61,6809,0.12913932405264955,Extracorporeal circulation auxiliary to open heart surgery
14,599.0,6442,0.12217881121268444,"Urinary tract infection, site not specified"
15,530.81,6156,0.11675454235102227,Esophageal reflux
16,96.72,5926,0.11239236809164359,Continuous mechanical ventilation for 96 consecutive hours or more
17,272.0,5766,0.1093578120851193,Pure hypercholesterolemia
18,285.9,5296,0.10044380381595418,"Anemia, unspecified"
19,88.56,5240,0.09938170921367068,Coronary arteriography using two catheters
20,244.9,4788,0.09080908849523954,Unspecified hypothyroidism
21,486,4733,0.08976595986799682,"Pneumonia, organism unspecified"
22,38.91,4575,0.08676933581155408,Arterial catheterization
23,285.1,4499,0.08532792170845503,Acute posthemorrhagic anemia
24,36.15,4390,0.08326063042901036,Single internal mammary-coronary artery bypass
25,276.2,4358,0.0826537192277055,Acidosis
26,496,4296,0.08147782877517733,"Chronic airway obstruction, not elsewhere classified"
27,99.15,4172,0.07912604787012101,Parenteral infusion of concentrated nutritional substances
28,995.92,3792,0.0719189773546258,Severe sepsis
29,V58.61,3698,0.07013617570079278,Encounter for long-term (current) use of anticoagulants
30,507.0,3592,0.06812578234647043,Pneumonitis due to inhalation of food or vomitus
31,038.9,3580,0.06789819064598111,Unspecified septicemia
32,88.72,3500,0.06638091264271896,Diagnostic ultrasound of heart
33,585.9,3367,0.06385843796229564,"Chronic kidney disease, unspecified"
34,403.90,3350,0.06353601638660243,"Hypertensive renal disease, unspecified, without mention of renal failure"
35,311,3347,0.0634791184614801,"Depressive disorder, not elsewhere classified"
36,305.1,3272,0.06205667033342184,Tobacco use disorder
37,37.22,3248,0.061601486932443196,Left heart cardiac catheterization
38,412,3203,0.06074801805560824,Old myocardial infarction
39,33.24,3188,0.06046352842999659,Closed [endoscopic] biopsy of bronchus
40,39.95,3178,0.06027386867958882,Hemodialysis
41,287.5,3002,0.05693585707241209,"Thrombocytopenia, unspecified"
42,410.71,3001,0.05691689109737132,"Acute myocardial infarction, subendocardial infarction, initial episode of care"
43,276.1,2985,0.056613435496718885,Hyposmolality and/or hyponatremia
44,V45.81,2943,0.055816864545006256,Postsurgical aortocoronary bypass status
45,424.0,2878,0.05458407616735576,Mitral valve disorders
46,45.13,2849,0.05403406289117323,Other endoscopy of small intestine
47,V15.82,2741,0.05198573758676934,History of tobacco use
48,511.9,2693,0.05107537078481205,Unspecified pleural effusion
49,37.23,2659,0.050430527633425634,Combined right and left heart cardiac catheterization
50,V45.82,2651,0.05027879983309942,"Percutaneous transluminal coronary angioplasty, postsurgical status"
51,403.91,2566,0.048666691954633384,"Hypertensive renal disease, unspecified, with renal failure"
52,V29.0,2529,0.04796495087812464,Observation for suspected infectious condition
53,424.1,2517,0.04773735917763532,Aortic valve disorders
54,785.52,2501,0.04743390357698289,Septic shock
55,V58.67,2497,0.047358039676819785,Encounter for long-term (current) use of insulin
56,427.89,2396,0.04544247619770132,Other specified cardiac dysrhythmias
57,327.23,2328,0.0441527898949285,Obstructive sleep apnea (adult) (pediatric)
58,997.1,2313,0.043868300269316846,"Cardiac complications, not elsewhere classified"
59,99.55,2304,0.04369760649394985,Prophylactic administration of vaccine against other diseases
60,93.9,2233,0.0423510222660547,Respiratory therapy
61,584.5,2223,0.04216136251564693,Acute renal failure with lesion of tubular necrosis
62,276.0,2221,0.042123430565565376,Hyperosmolality and/or hypernatremia
63,99.83,2185,0.041440655464097406,Other phototherapy
64,774.2,2183,0.04140272351401585,Neonatal jaundice associated with preterm delivery
65,54.91,2178,0.041307893638811974,Percutaneous abdominal drainage
66,518.0,2137,0.04053028866214012,Pulmonary collapse
67,33.1,2129,0.040378560861813906,Incision of lung
68,V05.3,2119,0.04018890111140614,Need for prophylactic vaccination and inoculation against viral hepatitis
69,416.8,2118,0.04016993513636536,Other chronic pulmonary heart diseases
70,276.7,2113,0.040075105261161474,Hyperpotassemia
71,493.90,2113,0.040075105261161474,"Asthma, unspecified type, without mention of status asthmaticus"
72,458.29,2094,0.039714751735386716,Other iatrogenic hypotension
73,88.53,2074,0.03933543223457118,Angiocardiography of left heart structures
74,274.9,2033,0.03855782725789933,"Gout, unspecified"
75,99.07,1995,0.03783712020634981,Transfusion of other serum
76,458.9,1992,0.03778022228122748,"Hypotension, unspecified"
77,733.00,1910,0.03622501232788378,"Osteoporosis, unspecified"
78,36.12,1897,0.03597845465235368,(Aorto)coronary bypass of two coronary arteries
79,780.39,1879,0.03563706710161969,Other convulsions
80,585.6,1868,0.03542844137617115,End stage renal disease
81,34.91,1809,0.034309448848765314,Thoracentesis
82,38.95,1791,0.03396806129803133,Venous catheterization for renal dialysis
83,518.5,1778,0.03372150362250123,Pulmonary insufficiency following trauma and surgery
84,427.1,1767,0.033512877897052686,Paroxysmal ventricular tachycardia
85,31.1,1756,0.03330425217160414,Temporary tracheostomy
86,34.04,1689,0.032033531843872094,Insertion of intercostal catheter for drainage
87,425.4,1666,0.03159731441793422,Other primary cardiomyopathies
88,411.1,1649,0.03127489284224102,Intermediate coronary syndrome
89,40.0,1599,0.030326594090202177,Incision of lymphatic structures
90,V12.51,1568,0.029738648863938094,Personal history of venous thrombosis and embolism
91,300.00,1552,0.029435193263285666,"Anxiety state, unspecified"
92,357.2,1552,0.029435193263285666,Polyneuropathy in diabetes
93,43.11,1523,0.028885179987103136,Percutaneous [endoscopic] gastrostomy [PEG]
94,998.11,1508,0.028600690361491484,Hemorrhage complicating a procedure
95,36.13,1498,0.028411030611083715,(Aorto)coronary bypass of three coronary arteries
96,278.00,1483,0.028126540985472064,"Obesity, unspecified"
97,88.41,1477,0.0280127451352274,Arteriography of cerebral arteries
98,790.7,1472,0.027917915260023518,Unspecified bacteremia
99,E879.8,1466,0.027804119409778855,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
100,600.00,1464,0.027766187459697302,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptoms (LUTS)
101,293.0,1434,0.027197208208474,Delirium due to conditions classified elsewhere
102,414.00,1429,0.027102378333270113,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
103,008.45,1428,0.027083412358229336,Intestinal infection due to clostridium difficile
104,35.21,1416,0.026855820657740014,Replacement of aortic valve with tissue graft
105,276.8,1400,0.026552365057087586,Hypopotassemia
106,V30.01,1391,0.026381671281720594,"Single liveborn, born in hospital, delivered by cesarean section"
107,285.21,1367,0.02592648788074195,Anemia in chronic kidney disease
108,443.9,1364,0.02586958995561962,"Peripheral vascular disease, unspecified"
109,V45.01,1360,0.02579372605545651,Cardiac pacemaker in situ
110,578.9,1355,0.025698896180252628,"Hemorrhage of gastrointestinal tract, unspecified"
111,276.51,1349,0.025585100330007965,Dehydration
112,276.52,1347,0.025547168379926412,Hypovolemia
113,E878.8,1317,0.024978189128703105,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
114,769,1299,0.024636801577969124,Respiratory distress syndrome in newborn
115,66.0,1295,0.024560937677806018,Salpingotomy and salpingostomy
116,431,1294,0.024541971702765238,Intracerebral hemorrhage
117,276.5,1294,0.024541971702765238,Volume depletion
118,427.5,1281,0.02429541402723514,Cardiac arrest
119,799.02,1267,0.024029890376664264,Hypoxemia
120,707.03,1260,0.023897128551378825,"Decubitus ulcer, lower back"
121,995.91,1251,0.023726434776011836,Sepsis
122,571.5,1250,0.02370746880097106,Cirrhosis of liver without mention of alcohol
123,263.9,1240,0.02351780905056329,Unspecified protein-calorie malnutrition
124,V10.3,1228,0.02329021735007397,Personal history of malignant neoplasm of breast
125,428.32,1221,0.02315745552478853,"Diastolic heart failure, chronic"
126,33.22,1218,0.0231005575996662,Fiber-optic bronchoscopy
127,36.06,1215,0.02304365967454387,Insertion of coronary artery stent(s)
128,99.05,1213,0.023005727724462313,Transfusion of platelets
129,428.33,1210,0.022948829799339984,"Diastolic heart failure, acute on chronic"
130,998.12,1199,0.022740204073891438,Hematoma complicating a procedure
131,427.32,1191,0.022588476273565226,Atrial flutter
132,E878.2,1189,0.02255054432348367,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
133,070.54,1187,0.022512612373402116,Chronic hepatitis C without mention of hepatic coma
134,99.2,1184,0.022455714448279786,Injection or infusion of other therapeutic or prophylactic substance
135,V10.46,1180,0.02237985054811668,Personal history of malignant neoplasm of prostate
136,491.21,1177,0.022322952622994347,Obstructive chronic bronchitis with (acute) exacerbation
137,998.59,1175,0.022285020672912794,Other postoperative infection
138,571.2,1163,0.022057428972423472,Alcoholic cirrhosis of liver
139,280.9,1157,0.021943633122178813,"Iron deficiency anemia, unspecified"
140,278.01,1150,0.021810871296893374,Morbid obesity
141,36.07,1147,0.021753973371771044,Insertion of drug-eluting coronary artery stent(s)
142,33.23,1144,0.02169707544664871,Other bronchoscopy
143,428.23,1127,0.021374653870955506,"Systolic heart failure, acute on chronic"
144,250.60,1114,0.021128096195425407,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with neurological manifestations"
145,785.51,1108,0.021014300345180745,Cardiogenic shock
146,294.8,1094,0.02074877669460987,Other persistent mental disorders due to conditions classified elsewhere
147,428.22,1081,0.02050221901907977,"Systolic heart failure, chronic"
148,413.9,1078,0.02044532109395744,Other and unspecified angina pectoris
149,285.29,1078,0.02044532109395744,Anemia of other chronic disease
150,300.4,1076,0.02040738914387589,Dysthymic disorder
151,89.64,1060,0.020103933543223457,Pulmonary artery wedge monitoring
152,560.1,1056,0.02002806964306035,Paralytic ileus
